NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
300-0975-000,SOT23_3_B,P-CH MOSFET SOT23 -3.0A 8.00V 1.0W QM2403K,0,QM2403K,UBIQ,P8E0-A-2,999,CCM,SOT23_1G1D1S,-55.15degC..150.05degC
032-0346-000,0402,CAP AUTOMOTIVE C0G 0402 8.2pF +/-0.25pF 50.0V,0.0025,GCM1555C1H8R2CA16D,Murata,P8E0-B-2,60,AUTOMOTIVE,0402,-55degC..125degC
080-0427-000,CON_MISC_034_SMT_RA_F_P005,CONN SMD CABLE TO BOARD MALE VERT 30 POS 0.5mm PITCH,0.05,GS13307-11230-7H,Foxconn,P7,57,CCM,NORM,Parameter N/A
195-2147-000,0201,RES SCD 0201 680K 5% 1/20W,0.0019,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
086-0246-000,XTAL_SMD_4_032X025,OSC SMD 25.0 MHz 20.0 ppm 2.97 V 3.63 V 15.0 pF SIT8918BA-21-33N-25.00000D,0,SIT8918BA-21-33N-25.000000D,SiTime,P8E0-A-2,999,CCM,SMD_32X25,-40.15degC..125.05degC
100-0200-000,IND_SMD_0603,FERRITE BEAD BEAD_0603 Ferrite 300.0ohm 25.0% 0.2ohm Pachinko,0.0025,Z2K301-RJ-39,Superworld,P8E0-A-2,49,PACHINKO,BEAD_0603,-40.15degC..125.05degC
042-0072-000,CAP_SMD_083X083,CAP 180uF 16V 20% 4.36A 16mOHM 8X12MM SMD,0.265,APXA160ARA181MHC01,Nippon Chemi-Con,P8E0-B-2,85,CCM,SMD_D80,-55degC..105degC
195-2170-000,0201,RES SCD 0201 10 1% 1/20W,0.0009,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
320-0964-000,VIBRATOR_03_SMD_110X046,Vibration Motor VIBRATION MOTOR SMD 2.7V 85mA MAX 14000rpm,1.5,Z30C1T8219731,CPR,P8E0-A-2,28,CCM,SMD3,Validation
093-0017-000,0603,THMS SMD NTC 47kohm 1% B4050K 1.5% 0603,0.062,NCP18WB473F10RB,Murata,P8E0-B-2,70,CCM,0603,-40degC..125degC
195-3054-000,0402,RES SERVER 0402 274R 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
195-2788-000,0402,RES 0402 499.0 ohm 0.1 % 62.5 mW,0.0325,RT0402BRD07499RL,Yageo,P8E1-7cI-A-1,42,UNRESTRICTED,0402,-55degC..125degC
311-0059-000,ANTENNA_032X100,ANTENNA DUALBAND WLAN WIFI CERAMIC CHIP 2400-2483.5MHz 5150-5850MHz 50 OHM 10.0X3.2X1.5mm,0.77,W3006,Pulse,P8E10,60,CCM,SMD,[ ]..[ ]
195-3632-000,0402,RES AUTOMOTIVE 0402 3.4kohm 1% 62.5mW,0,TFA0402R3401F-T10,Thin Film,P8E10,999,AUTOMOTIVE,0402,-55degC..155degC
161-0230-600,BGA_0200_P080_P065_100X150,"IC SDRAM AUTOMOTIVE LPDDR4 x32 FBGA200 , 1866Mhz, 8Gb Grade3",0,K4F8E3S4HB-MFCJ,Samsung Electronics,P8E10,180,AUTOMOTIVE,1.866GHz,-40.15degC..94.85degC
